ytid,start_s,end_s,caption,aspect_list,is_audioset_eval
syn00026,0,10,"A sad and slow piece with energetic textures, ambient mood and folk tone.","[np.str_('sad'), np.str_('slow'), np.str_('energetic'), np.str_('ambient'), np.str_('folk')]",False
syn00027,0,10,"A orchestra and synth piece with pop textures, clean mood and classical tone.","[np.str_('orchestra'), np.str_('synth'), np.str_('pop'), np.str_('clean'), np.str_('classical')]",False
syn00028,0,10,"A male and sad piece with slow textures, energetic mood and melody tone.","[np.str_('male'), np.str_('sad'), np.str_('slow'), np.str_('energetic'), np.str_('melody')]",False
syn00029,0,10,"A male and clean piece with riff textures, fast mood and trance tone.","[np.str_('male'), np.str_('clean'), np.str_('riff'), np.str_('fast'), np.str_('trance')]",False
syn00030,0,10,"A orchestra and electronic piece with pop textures, guitar mood and male tone.","[np.str_('orchestra'), np.str_('electronic'), np.str_('pop'), np.str_('guitar'), np.str_('male')]",False
syn00031,0,10,"A strings and acoustic piece with bass textures, calm mood and choir tone.","[np.str_('strings'), np.str_('acoustic'), np.str_('bass'), np.str_('calm'), np.str_('choir')]",False
syn00032,0,10,"A strings and electronic piece with beat textures, hiphop mood and ambient tone.","[np.str_('strings'), np.str_('electronic'), np.str_('beat'), np.str_('hiphop'), np.str_('ambient')]",False
syn00033,0,10,"A guitar and soul piece with electronic textures, loud mood and pop tone.","[np.str_('guitar'), np.str_('soul'), np.str_('electronic'), np.str_('loud'), np.str_('pop')]",False
syn00034,0,10,"A percussion and slow piece with energetic textures, electronic mood and vocal tone.","[np.str_('percussion'), np.str_('slow'), np.str_('energetic'), np.str_('electronic'), np.str_('vocal')]",True
syn00035,0,10,"A house and beat piece with hiphop textures, happy mood and dark tone.","[np.str_('house'), np.str_('beat'), np.str_('hiphop'), np.str_('happy'), np.str_('dark')]",True
syn00036,0,10,"A guitar and trance piece with upbeat textures, male mood and melancholic tone.","[np.str_('guitar'), np.str_('trance'), np.str_('upbeat'), np.str_('male'), np.str_('melancholic')]",True
syn00037,0,10,"A beat and hiphop piece with slow textures, riff mood and folk tone.","[np.str_('beat'), np.str_('hiphop'), np.str_('slow'), np.str_('riff'), np.str_('folk')]",True
syn00038,0,10,"A metal and strings piece with acoustic textures, distorted mood and pad tone.","[np.str_('metal'), np.str_('strings'), np.str_('acoustic'), np.str_('distorted'), np.str_('pad')]",True
syn00039,0,10,"A pop and fast piece with pad textures, beat mood and drums tone.","[np.str_('pop'), np.str_('fast'), np.str_('pad'), np.str_('beat'), np.str_('drums')]",True
